"filename", "language", "C++", "comment", "blank", "total"
"/home/brandon/Desktop/Dev/GameEngine/src/core/systems/camera_system.cpp", "C++", 0, 28, 4, 32
"/home/brandon/Desktop/Dev/GameEngine/src/core/systems/controller_system.cpp", "C++", 40, 41, 12, 93
"/home/brandon/Desktop/Dev/GameEngine/src/core/systems/mesh_loader_system.cpp", "C++", 199, 11, 24, 234
"/home/brandon/Desktop/Dev/GameEngine/src/core/systems/render_system.cpp", "C++", 98, 25, 22, 145
"/home/brandon/Desktop/Dev/GameEngine/src/core/systems/shader_loader_system.cpp", "C++", 70, 10, 9, 89
"/home/brandon/Desktop/Dev/GameEngine/src/helpers/controls.cpp", "C++", 67, 10, 11, 88
"/home/brandon/Desktop/Dev/GameEngine/src/main.cpp", "C++", 75, 14, 21, 110
"/home/brandon/Desktop/Dev/GameEngine/src/models/Mesh.cpp", "C++", 42, 0, 3, 45
"Total", "-", 591, 139, 106, 836
